no;id;G;D;time_period;Y
1;1;2;0.085932207;1;0.357958262
2;1;2;0.085932207;2;5.23546945
3;1;2;0.085932207;3;3.271707891
4;1;2;0.085932207;4;4.398804154
5;2;4;0.172177812;1;5.974335061
6;2;4;0.172177812;2;5.846305103
7;2;4;0.172177812;3;6.39196714
8;2;4;0.172177812;4;8.670860584
9;3;4;0.705128769;1;4.597999157
10;3;4;0.705128769;2;5.546733358
11;3;4;0.705128769;3;5.431849898
12;3;4;0.705128769;4;7.613492605
13;4;4;0.654099166;1;4.853585365
14;4;4;0.654099166;2;6.565918234
15;4;4;0.654099166;3;6.973697721
16;4;4;0.654099166;4;8.045690198
17;5;0;0;1;1.906141655
18;5;0;0;2;1.96265665
19;5;0;0;3;1.229175749
20;5;0;0;4;3.862889761
21;6;4;0.717297413;1;5.355049118
22;6;4;0.717297413;2;4.814066283
23;6;4;0.717297413;3;6.298456808
24;6;4;0.717297413;4;8.770683325
25;7;2;0.3892445;1;2.181268941
26;7;2;0.3892445;2;5.18418775
27;7;2;0.3892445;3;6.333921454
28;7;2;0.3892445;4;7.13139296
29;8;2;0.417610463;1;2.337800082
30;8;2;0.417610463;2;3.413769962
31;8;2;0.417610463;3;3.067968849
32;8;2;0.417610463;4;4.191994762
33;9;4;0.017647964;1;5.335350306
34;9;4;0.017647964;2;5.466704472
35;9;4;0.017647964;3;9.180948688
36;9;4;0.017647964;4;10.60676486
37;10;4;0.914109105;1;6.878105242
38;10;4;0.914109105;2;8.630010648
39;10;4;0.914109105;3;7.521166159
40;10;4;0.914109105;4;10.80213802
41;11;4;0.052873909;1;4.617370614
42;11;4;0.052873909;2;7.77564549
43;11;4;0.052873909;3;6.247894498
44;11;4;0.052873909;4;6.998246692
45;12;4;0.268151469;1;6.440560045
46;12;4;0.268151469;2;7.34432562
47;12;4;0.268151469;3;8.283880717
48;12;4;0.268151469;4;8.092345797
49;13;3;0.234615183;1;5.846147983
50;13;3;0.234615183;2;5.323234846
51;13;3;0.234615183;3;8.618821206
52;13;3;0.234615183;4;7.205832893
53;14;0;0;1;0.688053183
54;14;0;0;2;0.232138578
55;14;0;0;3;2.915995022
56;14;0;0;4;2.92453762
57;15;3;0.620479749;1;2.535887392
58;15;3;0.620479749;2;2.342016581
59;15;3;0.620479749;3;6.091804973
60;15;3;0.620479749;4;8.706684498
61;16;0;0;1;0.897083341
62;16;0;0;2;3.487432523
63;16;0;0;3;4.872706445
64;16;0;0;4;5.046529722
65;17;3;0.589242254;1;4.917900487
66;17;3;0.589242254;2;4.184681814
67;17;3;0.589242254;3;5.482324755
68;17;3;0.589242254;4;8.367330425
69;18;3;0.207637069;1;4.389909932
70;18;3;0.207637069;2;4.795163283
71;18;3;0.207637069;3;4.334210851
72;18;3;0.207637069;4;7.336426718
73;19;2;0.825290296;1;2.976762967
74;19;2;0.825290296;2;4.500429844
75;19;2;0.825290296;3;4.353494867
76;19;2;0.825290296;4;5.343388491
77;20;2;0.380981831;1;1.303209448
78;20;2;0.380981831;2;1.371182735
79;20;2;0.380981831;3;2.535996273
80;20;2;0.380981831;4;2.8151275
81;21;3;0.670901866;1;4.187207732
82;21;3;0.670901866;2;4.981943676
83;21;3;0.670901866;3;7.536743595
84;21;3;0.670901866;4;6.9801798
85;22;3;0.182615688;1;5.283677448
86;22;3;0.182615688;2;5.775477886
87;22;3;0.182615688;3;6.791414169
88;22;3;0.182615688;4;7.435371197
89;23;2;0.675272346;1;3.88876012
90;23;2;0.675272346;2;6.226081723
91;23;2;0.675272346;3;4.15784261
92;23;2;0.675272346;4;6.20554393
93;24;2;0.857245751;1;1.877805343
94;24;2;0.857245751;2;1.718419117
95;24;2;0.857245751;3;4.444995322
96;24;2;0.857245751;4;4.081686203
97;25;2;0.168006229;1;4.141695053
98;25;2;0.168006229;2;4.013531133
99;25;2;0.168006229;3;5.118606042
100;25;2;0.168006229;4;6.619079301
101;26;0;0;1;-0.516275688
102;26;0;0;2;0.846537661
103;26;0;0;3;1.541667778
104;26;0;0;4;2.102696531
105;27;4;0.128719448;1;4.899269374
106;27;4;0.128719448;2;5.693731844
107;27;4;0.128719448;3;5.749413575
108;27;4;0.128719448;4;8.199690307
109;28;0;0;1;1.105394845
110;28;0;0;2;2.482049037
111;28;0;0;3;2.535132429
112;28;0;0;4;4.961342504
113;29;0;0;1;1.392479287
114;29;0;0;2;1.986864947
115;29;0;0;3;3.275148809
116;29;0;0;4;5.522324281
117;30;2;0.637318307;1;3.360648216
118;30;2;0.637318307;2;2.869059441
119;30;2;0.637318307;3;3.903380622
120;30;2;0.637318307;4;7.323682433
121;31;3;0.0379439;1;6.160432674
122;31;3;0.0379439;2;4.431048409
123;31;3;0.0379439;3;5.111490862
124;31;3;0.0379439;4;5.103512038
125;32;3;0.544139596;1;3.123614392
126;32;3;0.544139596;2;5.645851778
127;32;3;0.544139596;3;6.198150626
128;32;3;0.544139596;4;8.122549209
129;33;3;0.463462562;1;3.813384177
130;33;3;0.463462562;2;3.513442974
131;33;3;0.463462562;3;3.075845107
132;33;3;0.463462562;4;5.135946401
133;34;4;0.103868857;1;5.052924014
134;34;4;0.103868857;2;2.919209981
135;34;4;0.103868857;3;7.227115036
136;34;4;0.103868857;4;7.43591752
137;35;2;0.408026021;1;1.174979402
138;35;2;0.408026021;2;3.625139531
139;35;2;0.408026021;3;4.459874651
140;35;2;0.408026021;4;4.19016802
141;36;0;0;1;-0.706955793
142;36;0;0;2;1.50222915
143;36;0;0;3;4.4432772
144;36;0;0;4;4.849185316
145;37;2;0.303937445;1;3.943008542
146;37;2;0.303937445;2;3.373759843
147;37;2;0.303937445;3;5.844091543
148;37;2;0.303937445;4;6.062505817
149;38;3;0.130233858;1;2.706894314
150;38;3;0.130233858;2;6.983305728
151;38;3;0.130233858;3;4.305952162
152;38;3;0.130233858;4;8.616209735
153;39;0;0;1;5.362316213
154;39;0;0;2;3.647019253
155;39;0;0;3;3.974429408
156;39;0;0;4;6.175514986
157;40;0;0;1;-0.757670755
158;40;0;0;2;-1.068770239
159;40;0;0;3;0.88078259
160;40;0;0;4;1.800775155
161;41;4;0.076125856;1;1.679048349
162;41;4;0.076125856;2;4.959449356
163;41;4;0.076125856;3;3.763837903
